model,sample_id,sample,latency_ms,tokens,json_valid,output
qwen-32b,5,"My shipment is 3 weeks late, I need it urgently....",780,366,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,6,How do I change my newsletter preferences?...,721,294,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,7,The app keeps crashing and I have a deadline today!...,544,275,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,8,Do you offer student discounts?...,752,309,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,9,Someone made a fraudulent purchase on my card!...,775,340,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,10,I would like a product catalogue please....,643,283,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,11,My password reset email never arrived â€” locked out!...,1135,504,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,12,What are the dimensions of the large box?...,1022,458,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,13,Server is down and my entire team is blocked!...,964,466,✓,"{'classification': 'not spam', 'confidence': 0.8}"
qwen-32b,14,Can I get a receipt for my purchase last month?...,481,266,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,15,I received the wrong item and need it replaced today....,606,295,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,16,Where can I find your return policy?...,659,325,✓,"{'label': 'not spam', 'confidence': 1.0}"
qwen-32b,17,My child accidentally deleted all our family data!...,1058,447,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,18,Is there a loyalty programme I can join?...,661,293,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,19,Payment failing repeatedly â€” I have a meeting soon!...,683,306,✓,"{'label': 'spam', 'confidence': 0.92}"
qwen-32b,20,Just checking if my order has been dispatched yet....,689,300,✓,"{'label': 'not spam', 'confidence': 0.95}"
